precinct,stops,,,
1,3052,,,
5,2781,,,
6,3637,,,
7,3501,,,
9,5278,,,
10,2406,,,
13,3830,,,
14,8945,,,
17,1330,,,
18,2978,,,
19,4652,,,
20,3266,,,
22,592,,,
23,11095,,,
24,4218,,,
25,6373,,,
26,5486,,,
28,6707,,,
30,6168,,,
32,10759,,,
33,3620,,,
34,9675,,,
40,18274,,,
41,8611,,,
42,7760,,,
43,10655,,,
44,15411,,,
45,3995,,,
46,5626,,,
47,8948,,,
48,5430,,,
49,5778,,,
50,1832,,,
52,9810,,,
60,7785,,,
61,6690,,,
62,4471,,,
63,3662,,,
66,3434,,,
67,10832,,,
68,2557,,,
69,5369,,,
70,11247,,,
71,4676,,,
72,5199,,,
73,22147,,,
75,24408,,,
76,4480,,,
77,9934,,,
78,3281,,,
79,15292,,,
81,9708,,,
83,11811,,,
84,3828,,,
88,5948,,,
90,9846,,,
94,2092,,,
100,4130,,,
101,9770,,,
102,6849,,,
103,12985,,,
104,4893,,,
105,8198,,,
106,5019,,,
107,4442,,,
108,4096,,,
109,9682,,,
110,9090,,,
111,3752,,,
112,2797,,,
113,8735,,,
114,8464,,,
115,8068,,,
120,12368,,,
122,6408,,,
123,1940,,,